PDBchain   len  method   resol   rfac  freerfac
8VOLA      104  XRAY       0.9  0.116  0.127
7PSYA      115  XRAY       0.9  0.117  0.131
3VORA      182  XRAY       0.9  0.121   0.13
3G21A       77  XRAY       0.9  0.124  0.142
5GJIA      108  XRAY       0.9  0.127  0.145
3ZR8X       65  XRAY       0.9  0.127  0.149
4EA9A      220  XRAY       0.9  0.139  0.155
2XU3A      220  XRAY       0.9  0.142  0.155
6LK1A       95  XRAY       0.9  0.145  0.171
1J0PA      108  XRAY      0.91  0.108  0.136
5IG6A      115  XRAY      0.91  0.126  0.143
5BR4A      391  XRAY      0.91   0.13  0.147
3X0IA      170  XRAY      0.91  0.136  NA   
8CR4A      514  XRAY      0.91  0.195  0.206
5MK9A      379  XRAY     0.919  0.109  0.122
4HNOA      288  XRAY     0.919  0.126  0.139
1IQZA       81  XRAY      0.92  0.097  0.113
6EQEA      298  XRAY      0.92  0.101   0.11
3EA6A      219  XRAY      0.92  0.101  0.122
6HSAA      145  XRAY      0.92  0.102   0.12
2FVYA      309  XRAY      0.92   0.11   0.13
6CNWA      116  XRAY      0.92  0.126  0.139
6ZSYA       52  XRAY     0.926   0.13  0.157
8X3HA      332  XRAY      0.93  0.103  0.124
1OK0A       74  XRAY      0.93  0.103   0.13
1VBWA       68  XRAY      0.93  0.114  0.143
3QL9A      129  XRAY      0.93  0.123  0.131
3M5QA      357  XRAY      0.93  0.124  0.134
4R2XA      252  XRAY      0.93   0.15  0.164
2BT9A       90  XRAY      0.94  0.098   0.12
2UU8A      237  XRAY      0.94   0.12  0.142
2GUDA      122  XRAY      0.94  0.136  0.156
6TWTA      243  XRAY      0.95  0.105   0.12
2XOMA      152  XRAY      0.95  0.105   0.12
2XJPA      258  XRAY      0.95  0.106  0.122
5U3AA      496  XRAY      0.95   0.11   0.12
1MJ5A      302  XRAY      0.95  0.112  0.141
4WKAA      377  XRAY      0.95  0.113  0.123
4KQPA      232  XRAY      0.95  0.115   0.12
5O2XA      248  XRAY      0.95  0.116  0.127
3S6EA      114  XRAY      0.95   0.12  0.132
4XDXA       70  XRAY      0.95  0.122  0.136
3DK9A      478  XRAY      0.95  0.123  0.152
1ZZKA       82  XRAY      0.95  0.124  0.127
3VLAA      413  XRAY      0.95  0.128  0.146
5II6A      112  XRAY      0.95  0.128  0.145
4G9SA      187  XRAY      0.95  0.129  0.136
4G9SB      111  XRAY      0.95  0.129  0.136
4E3YA      245  XRAY      0.95  0.131  0.145
5EWOA      228  XRAY      0.95  0.132  0.142
3DHAA      254  XRAY      0.95  0.133  0.169
6J93A      196  XRAY      0.95  0.134  0.153
1RTQA      299  XRAY      0.95  0.135  0.151
7DC4A      133  XRAY      0.95  0.136  0.148
4EGUA      119  XRAY      0.95  0.137  0.152
8PMFA       66  XRAY      0.95  0.145  0.171
1NKIA      135  XRAY      0.95  0.148  0.176
8WXCA      358  XRAY      0.95  0.165  0.176
3F1LA      252  XRAY      0.95  0.171  0.192
4GA2A      150  XRAY      0.95  0.178  0.199
6IIPA       88  XRAY     0.951  0.197  0.205
1UFYA      122  XRAY      0.96   0.11  0.127
7Q0OA      240  XRAY      0.96  0.113  0.129
3ZZPA       77  XRAY      0.96  0.113  0.137
5DP2A      342  XRAY      0.96  0.117  0.131
3AGNA      114  XRAY      0.96  0.118  0.127
2XODA      119  XRAY      0.96  0.124  0.151
6JPTA      122  XRAY      0.96  0.136  0.146
3E4GA      176  XRAY      0.96  0.144  0.164
4R5RA       68  XRAY      0.96  0.149  0.168
7Z8OA      198  XRAY      0.96  0.153  0.169
1AHOA       64  XRAY      0.96  0.158  NA   
5A8CA      326  XRAY      0.97  0.104  0.124
1XG0C      177  XRAY      0.97  0.107  0.126
1XG0A       76  XRAY      0.97  0.107  0.126
2XFRA      535  XRAY      0.97  0.114   0.13
1BYIA      224  XRAY      0.97  0.116  NA   
4ACJA      167  XRAY      0.97  0.119  0.138
9AYNA       80  XRAY      0.97  0.119  0.139
6X7JA      182  XRAY      0.97  0.122  0.137
7RWGA      396  XRAY      0.97  0.123  0.136
5DZEA      207  XRAY      0.97  0.123  0.137
5TIFA      185  XRAY      0.97  0.123  0.137
7P24AAA    518  XRAY      0.97  0.124  0.136
3EO6A      106  XRAY      0.97  0.124  0.143
4Q4GX      472  XRAY      0.97  0.126  0.175
4OO4A      105  XRAY      0.97  0.137  0.165
8B97A      152  XRAY      0.97  0.141  0.152
4PNOA       72  XRAY      0.97  0.144  0.164
1XMKA       79  XRAY      0.97  0.145  0.183
4MTUA      144  XRAY      0.97  0.146  0.159
6YP6A      218  XRAY      0.97  0.151  0.172
8JEAA      142  XRAY      0.97  0.176  0.189
6FJNA      184  XRAY      0.97  0.183  0.195
3AKSA      190  XRAY      0.97  0.186  0.192
6RYGA      128  XRAY     0.974  0.135  0.139
3V1AA       48  XRAY      0.98  0.095  0.113
2V8TA      302  XRAY      0.98  0.101  0.117
4HGUA       40  XRAY      0.98  0.106  0.124
3D1PA      139  XRAY      0.98  0.109  0.124
6TN1AAA    497  XRAY      0.98  0.112  0.128
5SY4A      199  XRAY      0.98  0.114  0.127
7YZ7A      125  XRAY      0.98  0.133  0.141
4EKFA      204  XRAY      0.98  0.135  0.168
4WPKA      238  XRAY      0.98  0.137  0.154
4A7UA      153  XRAY      0.98  0.139  0.153
2PNEA       81  XRAY      0.98  0.141  0.164
1UNQA      125  XRAY      0.98  0.151  0.179
3JUDA      153  XRAY      0.98  0.155   0.18
1K4IA      233  XRAY      0.98  0.178  0.196
1TQGA      105  XRAY      0.98   0.18  0.211
5SBQA      152  XRAY     0.988  0.159  0.171
4IAUA      163  XRAY      0.99  0.107  0.129
1MWQA      101  XRAY      0.99  0.109  0.132
3Q46A      178  XRAY      0.99  0.111  0.123
5CKLA      188  XRAY      0.99  0.113  0.125
7KOMA      138  XRAY      0.99   0.12  0.141
6RK0A      225  XRAY      0.99  0.124  0.138
4AQOA       92  XRAY      0.99  0.125   0.15
6RVUA      231  XRAY      0.99  0.126  0.147
8A55A      118  XRAY      0.99  0.154  0.173
6U66A      142  XRAY      0.99  0.166   0.19
5II8A      138  XRAY      0.99  0.167  0.191
7B1SA      595  XRAY     0.992  0.113  0.128
7B1SB      467  XRAY     0.992  0.113  0.128
4NDSA       94  XRAY     0.997   0.11  0.124
4X5PA      160  XRAY     0.997  0.124  0.139
5JDKA      137  XRAY     0.998   0.17  0.179
2GKGA      127  XRAY       1.0  0.092  0.123
7ADRB      475  XRAY       1.0  0.102  0.117
1JFBA      404  XRAY       1.0  0.102  0.139
7ADRC      113  XRAY       1.0  0.102  0.117
1EB6A      177  XRAY       1.0  0.104  0.126
1O7JA      327  XRAY       1.0   0.11  0.128
3FYMA      130  XRAY       1.0   0.11   0.14
8C10A      321  XRAY       1.0  0.113  0.133
2CNQA      306  XRAY       1.0  0.116   0.13
6IGGA      171  XRAY       1.0  0.117  0.136
4ZGFA      141  XRAY       1.0  0.117  0.137
1GKMB      507  XRAY       1.0  0.119  0.135
2R31A      239  XRAY       1.0  0.119  0.142
2GGCA      263  XRAY       1.0   0.12  0.133
1TT8A      164  XRAY       1.0   0.12  0.153
2RBKA      261  XRAY       1.0  0.123  0.148
4YMYA      174  XRAY       1.0  0.124  0.136
4GNRA      353  XRAY       1.0  0.127  0.147
5CTMA      233  XRAY       1.0  0.127  0.138
4CNNA      252  XRAY       1.0  0.132  0.149
3RWNA      161  XRAY       1.0  0.133  0.142
1MN8A      100  XRAY       1.0  0.133  0.169
5E1NA      148  XRAY       1.0  0.135   0.15
6GZ8A      138  XRAY       1.0  0.135  0.154
3L8WA      296  XRAY       1.0  0.136  0.144
4AXOA      151  XRAY       1.0  0.136  0.147
2X46A      144  XRAY       1.0  0.136  0.157
6FVIA      151  XRAY       1.0  0.137  0.152
5D66A      198  XRAY       1.0   0.14  0.168
6EUWA      163  XRAY       1.0  0.141  0.164
5DGJA      188  XRAY       1.0  0.143  0.154
5JIGA      127  XRAY       1.0  0.143  0.167
2CE2X      166  XRAY       1.0  0.145  0.163
3RQ9A       85  XRAY       1.0  0.147  0.176
8E77A      380  XRAY       1.0  0.148  0.174
3WH1A      206  XRAY       1.0  0.148  0.155
7K9CA       98  XRAY       1.0  0.149  0.163
1OAIA       59  XRAY       1.0  0.149  0.159
1C7KA      132  XRAY       1.0  0.154  0.178
6UKFX      258  XRAY       1.0  0.155  0.166
3A4RA       79  XRAY       1.0  0.159  0.184
2QCPX       80  XRAY       1.0   0.16  0.186
3SOJA      115  XRAY       1.0  0.161  0.181
4TXRA      163  XRAY       1.0  0.164   0.18
4TXRC       58  XRAY       1.0  0.164   0.18
6L8GB       88  XRAY       1.0  0.168  0.176
3BWHA      245  XRAY       1.0  0.172  0.179
2V1MA      169  XRAY       1.0  0.176  0.184
3CCDA       85  XRAY       1.0  0.192  0.205
7SNEA      184  XRAY       1.0  0.198  0.219
7B5WA       98  XRAY       1.0    0.2  0.226
3ZUCA      153  XRAY     1.001  0.125  0.136
4YPOA      333  XRAY     1.001  0.154  0.163
3TEUA       98  XRAY     1.002  0.112  0.139
8Q1FA      221  XRAY      1.01  0.116  0.135
6R33A      508  XRAY      1.01  0.118  0.136
3SK2A      132  XRAY      1.01  0.127  0.146
7JJAA      181  XRAY      1.01   0.13  0.139
4BPFA       86  XRAY      1.01   0.13  0.156
6Z5YA      180  XRAY      1.01  0.144  0.164
8BJ8B       88  XRAY      1.01  0.151  0.163
6Y4EA      136  XRAY      1.02  0.108  0.128
6QAZA      128  XRAY      1.02  0.123   0.15
1I27A       73  XRAY      1.02  0.127  0.146
1CXQA      162  XRAY      1.02  0.129  0.157
8QF4A       75  XRAY      1.02   0.13   0.16
1CC8A       73  XRAY      1.02  0.141  0.172
4YSIA      143  XRAY      1.02  0.154   0.16
5AOTA      106  XRAY      1.02  0.165   0.17
8HKAA      308  XRAY      1.02  0.206  0.229
3NVSA      450  XRAY     1.021  0.115  0.138
5YDEA      112  XRAY     1.023   0.12  0.139
7RM7A      228  XRAY     1.025  0.119  0.144
1KQPA      271  XRAY      1.03  0.108  0.135
5M17A      385  XRAY      1.03  0.117   0.13
5Y0MA      355  XRAY      1.03  0.117  0.134
6EF7A      127  XRAY      1.03  0.126  0.141
4UDXX      636  XRAY      1.03  0.132  0.157
3B64A      112  XRAY      1.03  0.139  0.157
7URPA      160  XRAY      1.03  0.144  0.165
6Q3PB       50  XRAY      1.03  0.145  0.174
6Q3PC       49  XRAY      1.03  0.145  0.174
3ROFA      158  XRAY      1.03   0.15  0.169
4XPXA      130  XRAY      1.03  0.158  0.166
1XQOA      256  XRAY      1.03  0.159  0.183
5D5YA       50  XRAY      1.03  0.166  0.199
5ONKA      214  XRAY      1.03  0.167  0.187
3VZ9D       73  XRAY      1.03  0.193  0.207
6DCMA       85  XRAY     1.031  0.142  0.157
3QZRA      187  XRAY     1.039   0.16  0.164
6N9HA       80  XRAY     1.039  0.197  0.214
7QTBA      267  XRAY      1.04   0.11  0.131
3I94A      248  XRAY      1.04  0.125  0.148
5AE0A      221  XRAY      1.04  0.128  0.156
7X44A       40  XRAY      1.04  0.131  0.133
6MM2A      104  XRAY      1.04  0.145  0.163
3CUZA      532  XRAY      1.04  0.153  0.166
1I2TA       61  XRAY      1.04  0.154  0.171
4B9GA      161  XRAY      1.04  0.156  0.167
1D5TA      433  XRAY      1.04  0.173  0.209
8AYVA      151  XRAY     1.044  0.124  0.151
4GJZA      235  XRAY     1.048  0.147  0.163
1LWBA      122  XRAY      1.05  0.103  NA   
6RY0A      443  XRAY      1.05  0.107  0.123
5WGIA      364  XRAY      1.05  0.107  0.126
8Q9XA      489  XRAY      1.05  0.109  0.126
4CO8A      135  XRAY      1.05  0.117  0.132
6TVEP      546  XRAY      1.05  0.118  0.133
7E2SA      233  XRAY      1.05  0.118  0.134
5NWPA      203  XRAY      1.05  0.118  0.143
2OIZD      135  XRAY      1.05  0.118  0.141
7D8DA      232  XRAY      1.05  0.119  0.136
2V3IA      434  XRAY      1.05   0.12   0.14
6NNRA      264  XRAY      1.05  0.121  0.132
1FSGA      233  XRAY      1.05  0.122  0.154
4X2RA      250  XRAY      1.05  0.123  0.141
2C71A      216  XRAY      1.05  0.125  0.142
7MPDA      161  XRAY      1.05  0.126  0.138
3GMXA      154  XRAY      1.05  0.126  0.154
3IQUA      236  XRAY      1.05   0.13  0.151
6SIDA       90  XRAY      1.05   0.13  0.151
2X5YA      173  XRAY      1.05  0.131  0.149
4W7LA      449  XRAY      1.05  0.132   0.15
4B5OA      200  XRAY      1.05  0.132  0.157
5FAFA      119  XRAY      1.05  0.132  0.168
1LQTA      456  XRAY      1.05  0.134  0.153
2D5MA      190  XRAY      1.05  0.135  0.162
5CTVA      188  XRAY      1.05  0.135  0.153
3WMVA      153  XRAY      1.05  0.137  0.155
3VUPA      351  XRAY      1.05  0.138  0.157
4ANNA      215  XRAY      1.05  0.138  0.181
1EUWA      152  XRAY      1.05  0.141  0.164
2VZCA      131  XRAY      1.05  0.144  0.159
6C1XA      131  XRAY      1.05  0.144  0.172
6TCCA      136  XRAY      1.05  0.146  0.163
6ELVA      145  XRAY      1.05  0.148  0.161
3R87A      135  XRAY      1.05  0.149  0.165
7ESKA      443  XRAY      1.05  0.151  0.171
2AXWA      134  XRAY      1.05  0.151  0.168
7LKLB      397  XRAY      1.05  0.156  0.176
1M9ZA      111  XRAY      1.05  0.156  0.166
2HINA       71  XRAY      1.05   0.16  0.173
8OHTAAA    475  XRAY      1.05  0.167  0.177
7Z09A      248  XRAY      1.05  0.175  0.189
1KJQA      391  XRAY      1.05   0.19  0.214
7ET5A      122  XRAY     1.052  0.164  0.174
6H40A      231  XRAY     1.053  0.109   0.12
7TFMA      158  XRAY     1.055  0.135  0.153
4D8BA      261  XRAY     1.058  0.145   0.16
4XOTA      597  XRAY      1.06  0.106   0.13
8G1LA      252  XRAY      1.06  0.117  0.126
4UZGA      292  XRAY      1.06  0.126  0.142
4KGDA      603  XRAY      1.06  0.127   0.15
3W42A      199  XRAY      1.06  0.128  0.155
3MCWA      198  XRAY      1.06  0.132  0.151
6YOOA      123  XRAY      1.06  0.135  0.147
8GKOA       95  XRAY      1.06  0.141   0.16
2DKOA      146  XRAY      1.06  0.142  0.175
2DKOB      103  XRAY      1.06  0.142  0.175
2R0XA      158  XRAY      1.06  0.143   0.17
8CMPA       66  XRAY      1.06  0.144  0.169
7CKAA      226  XRAY      1.06  0.159  0.173
7BLKA      162  XRAY      1.06  0.169  0.175
3LB2A      137  XRAY      1.06  0.169  0.183
5HUBA       90  XRAY      1.06  0.175   0.22
1PMHX      185  XRAY      1.06  0.204  0.173
8GQQA       99  XRAY     1.069  0.179   0.19
6GX2A      298  XRAY      1.07  0.113  0.134
8BBPA      388  XRAY      1.07  0.122  0.136
8A27A      326  XRAY      1.07  0.126   0.16
3VGIA      319  XRAY      1.07  0.129  0.158
2O90A      122  XRAY      1.07  0.131   0.15
2FFYA      358  XRAY      1.07  0.133  0.164
4QRNA      373  XRAY      1.07  0.136  0.155
8AIFA      120  XRAY      1.07  0.149  0.177
6S5WA      108  XRAY      1.07  0.149  0.178
6WFNA      171  XRAY      1.07   0.19  0.201
7CX5A       95  XRAY      1.07  0.195  0.204
7ZUGAAA    102  XRAY     1.075  0.168  0.201
9GIRA      152  XRAY     1.075  0.196   0.21
4K12B       84  XRAY     1.079  0.155   0.17
2CI1A      275  XRAY      1.08  0.112  0.141
1W23A      360  XRAY      1.08  0.117  0.139
1W66A      232  XRAY      1.08  0.117  0.146
4M51A      427  XRAY      1.08  0.118  0.135
8UWVA      513  XRAY      1.08  0.122  0.139
2XW6A      134  XRAY      1.08  0.129  0.161
3WA2X      621  XRAY      1.08  0.131   0.15
2YHGA      437  XRAY      1.08  0.134  0.151
1DS1A      324  XRAY      1.08  0.135  0.166
6SE1A      261  XRAY      1.08  0.137  0.149
4L57A      195  XRAY      1.08  0.144  0.183
5OJ5A      347  XRAY      1.08  0.145  0.162
6EKZA      328  XRAY      1.08  0.159  0.163
6FIHA      412  XRAY      1.08   0.16  0.183
5LUNA      352  XRAY      1.08  0.163  0.185
6XY7AAA    463  XRAY     1.086  0.136  0.159
6GY5A      304  XRAY     1.086  0.154  0.172
2CARA      196  XRAY      1.09  0.097  0.153
1NKDA       65  XRAY      1.09  0.101  0.134
6THOA      222  XRAY      1.09   0.12  0.148
6ZEGA      338  XRAY      1.09  0.121   0.14
6ZEGC       70  XRAY      1.09  0.121   0.14
1K5NA      276  XRAY      1.09  0.123  0.148
4WUIA      207  XRAY      1.09  0.128  0.138
8D0PA      322  XRAY      1.09  0.142   0.16
1N62B      809  XRAY      1.09  0.144  0.172
1N62C      288  XRAY      1.09  0.144  0.172
1N62A      166  XRAY      1.09  0.144  0.172
4GS3A      107  XRAY      1.09  0.154  NA   
5Y9ZA      199  XRAY      1.09  0.157  0.179
3ZY7A      122  XRAY      1.09  0.159  0.181
5J1NA      175  XRAY      1.09  0.162  0.179
3T7LA       90  XRAY      1.09  0.168  0.154
6FTFB      304  XRAY     1.092  0.151   0.16
5OHQA      111  XRAY     1.098  0.123   0.14
4KEFA      143  XRAY     1.098  0.127  0.144
4RXVA      229  XRAY     1.099  0.125  0.139
1C5EA       95  XRAY       1.1  0.098  0.133
1ZL0A      311  XRAY       1.1  0.099  0.121
4CJ0A      625  XRAY       1.1  0.108  0.125
4CJ0B       81  XRAY       1.1  0.108  0.125
3AYJA      721  XRAY       1.1  0.112  0.131
8B2EA      143  XRAY       1.1  0.113  0.124
5EL9A      205  XRAY       1.1  0.115  0.129
4WWFA      118  XRAY       1.1  0.116  0.145
3LWXA      199  XRAY       1.1  0.117  0.138
7ZTFA       58  XRAY       1.1  0.117  0.138
6RRVA      127  XRAY       1.1  0.118  0.142
7NQGAAA    327  XRAY       1.1  0.119  0.138
2AIBA       98  XRAY       1.1  0.119   0.15
2V9VA      135  XRAY       1.1  0.121  0.141
6R1DA      125  XRAY       1.1  0.123   0.15
4HE6A       89  XRAY       1.1  0.123  0.163
4ATEA      266  XRAY       1.1  0.125  0.152
2NWFA      141  XRAY       1.1  0.125  0.138
5JBXA      261  XRAY       1.1  0.126  0.145
3QZBA      143  XRAY       1.1  0.126  0.153
8BBUA      124  XRAY       1.1  0.126  0.155
7YUGA      118  XRAY       1.1  0.126  0.145
2C2UA      207  XRAY       1.1  0.127  0.149
4QLPB      199  XRAY       1.1  0.129  0.143
4QLPA      176  XRAY       1.1  0.129  0.143
4LF0A      348  XRAY       1.1  0.131  0.137
1Z2UA      150  XRAY       1.1  0.132  0.149
4H7WA      193  XRAY       1.1  0.133  0.154
6MU0A      160  XRAY       1.1  0.135  0.149
3P4HA      118  XRAY       1.1  0.135  0.165
4MAKA       94  XRAY       1.1  0.136  0.173
2ABSA      383  XRAY       1.1  0.137  0.167
2W39A      298  XRAY       1.1  0.138  0.152
2NXVA      249  XRAY       1.1  0.138  0.155
3RZNA      209  XRAY       1.1  0.139  0.157
8EHEB      152  XRAY       1.1  0.139  0.148
8C86A      127  XRAY       1.1  0.139  0.158
5OD4A      128  XRAY       1.1   0.14  0.169
4XUWA       92  XRAY       1.1  0.144  0.177
1UZ3A      102  XRAY       1.1  0.145  0.199
2FBAA      492  XRAY       1.1  0.146  0.161
4UE8A      184  XRAY       1.1  0.146  0.161
2V8FA      140  XRAY       1.1  0.146  0.173
1RG8A      146  XRAY       1.1  0.147  0.171
3SU6A      203  XRAY       1.1  0.151  0.165
1YFQA      342  XRAY       1.1  0.152  0.186
3BVXA     1045  XRAY       1.1  0.153   0.19
4PF3A      275  XRAY       1.1  0.155  0.177
2I5VO      251  XRAY       1.1  0.156  0.171
4ES1A      100  XRAY       1.1  0.158  0.164
4ID0A      214  XRAY       1.1  0.159  0.172
5LJPA      169  XRAY       1.1  0.161  0.176
7Q6AA      172  XRAY       1.1  0.162  0.174
4CNGA      255  XRAY       1.1  0.163  0.185
4BT7A      257  XRAY       1.1  0.165   0.18
4QA8A      229  XRAY       1.1  0.165  0.189
8OGMA      154  XRAY       1.1  0.172  0.201
7S7WA      293  XRAY       1.1  0.173  0.198
2RHFA       77  XRAY       1.1  0.178  0.194
4NI6A      150  XRAY       1.1  0.184  0.211
7W0QA      174  XRAY       1.1  0.187  0.211
6T02A      183  XRAY       1.1  0.188    0.2
8TNMA      147  XRAY       1.1  0.188  0.207
1KT6A      183  XRAY       1.1  0.194  0.223
2II2A      310  XRAY       1.1  0.196  0.225
3I2ZA       71  XRAY       1.1  0.205  0.234
5M1PA      191  XRAY       1.1  0.223  0.235
3U97A      114  XRAY     1.102  0.141  0.158
6BXDA      209  XRAY     1.103  0.177  0.179
6H10A      342  XRAY     1.104  0.121  0.133
2OFCA      142  XRAY      1.11   0.12  0.133
3ORUA      234  XRAY      1.11  0.127  0.146
8XETA      283  XRAY      1.11  0.131  0.142
6TL7A      135  XRAY      1.11  0.133  0.162
7QCPA      327  XRAY      1.11  0.143  0.156
3A8GB      212  XRAY      1.11  0.143  0.169
3A8GA      207  XRAY      1.11  0.143  0.169
5OUOA      277  XRAY      1.11   0.15  0.167
3CI3A      194  XRAY      1.11  0.161   0.18
5N6FA      375  XRAY     1.119  0.137  0.153
1SAUA      115  XRAY      1.12  0.109  0.137
6PZDA      393  XRAY      1.12  0.113  0.128
6DTVA      197  XRAY      1.12  0.125  0.137
5EMIA      180  XRAY      1.12  0.135  0.146
6RG2A      371  XRAY      1.12  0.138  0.161
6E7EA      169  XRAY      1.12  0.142  0.169
9FS2A      362  XRAY      1.12  0.148  0.169
8ONBA      152  XRAY      1.12   0.15  0.172
4YECB      236  XRAY      1.12  0.159  0.191
4YECA      126  XRAY      1.12  0.159  0.191
6LUJA       66  XRAY      1.12  0.175  0.178
2EABA      899  XRAY      1.12  0.176  0.189
8K07A      340  XRAY     1.121  0.205  0.219
8OVSAAA    299  XRAY     1.123  0.154  0.169
3JQ0A      493  XRAY      1.13  0.118  0.137
6HPHA      418  XRAY      1.13  0.129  0.163
1ZGXA       63  XRAY      1.13  0.129  0.164
6ZC2A      141  XRAY      1.13  0.139  0.156
1U07A       90  XRAY      1.13  0.139  0.183
3K6IA       99  XRAY      1.13  0.143  0.158
6N4LA      289  XRAY      1.13  0.146  0.157
3D9XA      163  XRAY      1.13  0.157  0.178
9DA2A      145  XRAY      1.13  0.167  0.184
6YHMA      299  XRAY      1.13  0.168  0.185
7DQTA      156  XRAY      1.13  0.172  0.197
7P5BA      508  XRAY      1.13  0.177  0.198
6Q9LA       96  XRAY      1.13  0.179   0.19
7LF3A       53  XRAY      1.13  0.184  0.199
6AO9A      192  XRAY      1.13  0.188  0.195
4RVQA      139  XRAY     1.135  0.125  0.146
6RVQA      308  XRAY     1.136  0.208  0.214
4WFOA      858  XRAY      1.14  0.108  0.128
9FLNA      129  XRAY      1.14  0.109  0.128
1P6OA      161  XRAY      1.14  0.112  0.152
5AOZA      169  XRAY      1.14   0.12  0.142
4BK7A      159  XRAY      1.14  0.137  0.175
6ELMA       98  XRAY      1.14   0.14  0.168
